model_name,category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
SD_api_free,Indian Festivals & Rituals,3.0,3.0,5.0,1.0
SD_api_free,Regional Diversity,5.0,5.0,5.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Art, History",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Art, Regional",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Arts, Music & Pop Culture",1.0,1.0,1.0,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Caste,1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Caste Discrimination,5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Caste, Dance, Religion",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Caste, Tradition",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Dance",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Oral Tradition",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Region",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Religion",3.0,3.0,3.0,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Daily Life & Social Context,1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Diversity & Inclusion,4.0,4.0,4.0,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Education, Youth & Women",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Festival, Attire",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Festival, Food",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Folk Dance, Culture",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Folk, Festival",1.0,1.0,1.0,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Food, Religion",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Food, Tradition",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Handicraft, Culture",1.0,1.0,1.0,1.0
