dataset_name,category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
Complex Indian Context Prompts (CIP),"Identity, Tradition",5.0,5.0,5.0,3.0
Complex Indian Context Prompts (CIP),"Irony, Global Awareness",1.0,1.0,1.0,1.0
Complex Indian Context Prompts (CIP),"Language Gap, Ritual",1.0,1.0,1.0,1.0
Complex Indian Context Prompts (CIP),Language Hierarchy,5.0,3.0,5.0,3.0
Complex Indian Context Prompts (CIP),"Nature Worship, Survival",1.0,1.0,1.0,1.0
Complex Indian Context Prompts (CIP),Office Diversity,3.0,1.0,1.0,1.0
Complex Indian Context Prompts (CIP),"Pluralism, Art",1.0,1.0,1.0,1.0
Complex Indian Context Prompts (CIP),"Protest, Gender Gap",1.0,1.0,1.0,1.0
Complex Indian Context Prompts (CIP),"Religion, Caste",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Art, History",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Art, Region",5.0,5.0,5.0,5.0
Detailed Indian Prompts (DIP),"Art, Regional",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),"Art, Tribal",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Arts, Music & Pop Culture",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Attire, Region",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),Caste,1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),Caste Discrimination,3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),"Caste, Dance, Religion",3.0,3.0,3.0,1.0
Detailed Indian Prompts (DIP),"Caste, Festival",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Caste, Tradition",3.0,3.0,4.0,5.0
Detailed Indian Prompts (DIP),"Culture, Attire",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),"Culture, Dance",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Culture, Gender",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Culture, Marriage",1.0,2.0,2.0,2.0
Detailed Indian Prompts (DIP),"Culture, Oral Tradition",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),"Culture, Region",5.0,5.0,5.0,5.0
Detailed Indian Prompts (DIP),"Culture, Religion",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),Daily Life & Social Context,3.0,3.0,3.0,1.0
Detailed Indian Prompts (DIP),Diversity & Inclusion,5.0,5.0,5.0,5.0
Detailed Indian Prompts (DIP),"Education, Rural",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),"Education, Youth & Women",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Festival, Attire",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),"Festival, Food",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Folk Dance, Culture",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Folk, Festival",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Food, Religion",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Food, Tradition",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Handicraft, Culture",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"History, Education",1.0,1.0,3.0,1.0
Detailed Indian Prompts (DIP),"Inclusion, Education",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),Indian Festivals & Rituals,1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"LGBTQ+, Religion",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),"LGBTQ+, Tradition",5.0,5.0,5.0,5.0
Detailed Indian Prompts (DIP),"Labor, Gender",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Labor, Northeast",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Music, Gender",3.0,3.0,3.0,1.0
Detailed Indian Prompts (DIP),"Northeast, Economy",1.0,1.0,1.0,1.0
